,views,views_name,weight
0,0,日月潭水社遊客中心,日月潭
1,0,日月潭水社遊客中心,水社
2,0,日月潭水社遊客中心,碼頭
3,0,日月潭水社遊客中心,纜車
4,1,九份老街,九份
5,1,九份老街,九份老街
6,1,九份老街,基山街
7,1,九份老街,悲情
8,1,九份老街,瑞芳
9,1,九份老街,芋圓
10,1,九份老街,街道
11,1,九份老街,豎崎路
12,1,九份老街,金瓜石
13,1,九份老街,金礦
14,2,墾丁大街,公園
15,2,墾丁大街,國家
16,2,墾丁大街,墾丁
17,2,墾丁大街,墾丁大街
18,2,墾丁大街,景點
19,2,墾丁大街,植物
20,2,墾丁大街,珊瑚礁
21,3,太魯閣遊客中心,中橫
22,3,太魯閣遊客中心,九曲
23,3,太魯閣遊客中心,公園
24,3,太魯閣遊客中心,公路
25,3,太魯閣遊客中心,國家
26,3,太魯閣遊客中心,大理岩
27,3,太魯閣遊客中心,天祥
28,3,太魯閣遊客中心,太魯閣
29,3,太魯閣遊客中心,峽谷
30,3,太魯閣遊客中心,燕子
31,3,太魯閣遊客中心,立霧
32,3,太魯閣遊客中心,花蓮
33,4,阿里山旅客服務中心,國家
34,4,阿里山旅客服務中心,奮起
35,4,阿里山旅客服務中心,森林
36,4,阿里山旅客服務中心,玉山
37,4,阿里山旅客服務中心,神木
38,4,阿里山旅客服務中心,遊樂區
39,4,阿里山旅客服務中心,鄒族
40,4,阿里山旅客服務中心,阿里山
41,4,阿里山旅客服務中心,雲海
42,5,野柳地質公園,一日
43,5,野柳地質公園,女王頭
44,5,野柳地質公園,海蝕
45,5,野柳地質公園,野柳
46,5,野柳地質公園,野柳地質公園
47,6,淡水老街,一日
48,6,淡水老街,中正路
49,6,淡水老街,八里
50,6,淡水老街,台北
51,6,淡水老街,旅遊
52,6,淡水老街,淡水
53,6,淡水老街,淡水老街
54,6,淡水老街,清水
55,6,淡水老街,漁人
56,6,淡水老街,碼頭
57,6,淡水老街,福佑
58,6,淡水老街,老街
59,6,淡水老街,街道
60,6,淡水老街,重建
61,6,淡水老街,鐵蛋
62,6,淡水老街,阿給
63,7,國立故宮博物院,中國
64,7,國立故宮博物院,中央
65,7,國立故宮博物院,北平
66,7,國立故宮博物院,南京
67,7,國立故宮博物院,博物院
68,7,國立故宮博物院,國立
69,7,國立故宮博物院,國立故宮博物院
70,7,國立故宮博物院,展覽
71,7,國立故宮博物院,故宮
72,7,國立故宮博物院,文物
73,7,國立故宮博物院,理事
74,7,國立故宮博物院,籌備
75,7,國立故宮博物院,藏品
76,8,安平古堡,古堡
77,8,安平古堡,古蹟
78,8,安平古堡,城堡
79,8,安平古堡,安平
80,8,安平古堡,安平古堡
81,8,安平古堡,熱蘭
82,8,安平古堡,瞭望台
83,8,安平古堡,荷蘭人
84,8,安平古堡,遮城
85,9,平溪老街,天燈
86,9,平溪老街,平溪
87,9,平溪老街,平溪老街
88,9,平溪老街,老街
